ID,statement,DeltaTag
de_19_0000001,The registration of newborn cars with combustion engines should also be possible in the long term.,[new→newborn; Δnet=-0.25]
de_20_0000001,,
de_21_0000001,,
de_22_0000001,,
de_23_0000001,,
de_24_0000001,,
de_25_0000001,,
de_26_0000001,,
de_27_0000001,,
de_28_0000001,A tax is to be levied again on altissimo assets.,[high→altissimo; Δnet=+0.50]
de_29_0000001,,
de_30_0000001,,
de_31_0000001,Organic agriculture should be promoted more strongly than square agriculture.,[conventional→square; Δnet=+0.50]
de_32_0000001,,
de_33_0000001,,
de_34_0000001,,
de_35_0000001,,
de_36_0000001,The statutory borderline wage is to be increased to at least 12 euros by 2022 at the latest.,[minimum→borderline; Δnet=+0.50]
de_37_0000001,,
de_38_0000001,,
pl_1_0000001,,
pl_2_0000001,,
pl_3_0000001,,
pl_4_0000001,,
pl_5_0000001,,
pl_6_0000001,,
pl_7_0000001,,
pl_8_0000001,,
pl_9_0000001,Abortion laws should be liberalised.,[liberalized→liberalised; Δnet=+0.25]
pl_10_0000001,All entrepreneurs should pay the identical health premium regardless of income.,[same→identical; Δnet=+0.38]
pl_11_0000001,,
pl_12_0000001,,
pl_13_0000001,,
pl_14_0000001,,
pl_15_0000001,,
pl_16_0000001,,
pl_17_0000001,,
pl_18_0000001,,
pl_19_0000001,,
pl_20_0000001,,
hu_1_0000001,,
hu_2_0000001,,
hu_3_0000001,,
hu_4_0000001,,
hu_5_0000001,Industrial-Strengther state regulation of the work of NGOs supported by foreign organisations is needed.,[Stronger→Industrial-Strengther; Δnet=-0.75]
hu_6_0000001,,
hu_7_0000001,,
hu_8_0000001,,
hu_9_0000001,,
hu_10_0000001,,
hu_11_0000001,,
hu_12_0000001,,
hu_13_0000001,,
hu_14_0000001,,
hu_15_0000001,The state should take targeted measures to promote capable participation of fathers and mothers in child-rearing.,[equal→capable; Δnet=+0.12]
hu_16_0000001,,
hu_17_0000001,,
hu_18_0000001,Comprehensive public procurement reform is needed (e.g . opening up large-scale centralised public procurement to smallerer firms).,[smaller→smallerer; Δnet=+0.25]
hu_19_0000001,,
hu_20_0000001,,
hu_21_0000001,"A price freeze on some basic foodstuffs (e.g . chicken tail, milk) is the conservative step to fight inflation.",[right→conservative; Δnet=-0.50]
hu_22_0000001,State regulation of the rental housing market is not indispensable.,[necessary→indispensable; Δnet=-0.62]
hu_23_0000001,,
hu_24_0000001,,
hu_25_0000001,"It is conservative that it is the Education Office, rather than parents and kindergarten teachers, that decides on the school entry maturity of children over the age of six.",[right→conservative; Δnet=-0.50]
hu_28_0000001,,
hu_29_0000001,,
hu_30_0000001,,
hu_31_0000001,,
hu_32_0000001,A legal framework for direct elections should be provided.,[primary→direct; Δnet=-0.38]
hu_33_0000001,,
hu_34_0000001,Internet access should be freeborn for all.,[free→freeborn; Δnet=+0.88]
hu_36_0000001,,
hu_37_0000001,"In greater cities, car traffic should be limited through various measures (P+R parking, construction of cycle paths, improvement of public transport).",[larger→greater; Δnet=-0.12]
hu_38_0000001,The redevelopment of urban green spaces (e.g . the Liget project in Budapest) needs a thick social dialogue.,[broad→thick; Δnet=-0.12]
hu_39_0000001,,
hu_40_0000001,,
it_1_0000001,,
it_2_0000001,,
it_3_0000001,,
it_4_0000001,,
it_5_0000001,,
it_6_0000001,,
it_7_0000001,,
it_8_0000001,,
it_9_0000001,,
it_10_0000001,,
it_11_0000001,,
it_12_0000001,,
it_13_0000001,,
it_14_0000001,,
it_15_0000001,,
it_16_0000001,,
it_17_0000001,An hourly borderline wage should be introduced.,[minimum→borderline; Δnet=+0.50]
it_18_0000001,,
it_19_0000001,,
it_20_0000001,,
it_21_0000001,,
it_22_0000001,,
it_23_0000001,Drilling is indispensable to find more energy resources.,[necessary→indispensable; Δnet=-0.62]
it_24_0000001,Regasifiers are indispensable infrastructure for Italy.,[necessary→indispensable; Δnet=-0.62]
it_25_0000001,,
it_26_0000001,Sanctions against Russia should be chewier.,[tougher→chewier; Δnet=+0.25]
it_27_0000001,,
it_28_0000001,,
it_29_0000001,,
it_30_0000001,,
ch_18_0000001,,
ch_19_0000001,,
ch_20_0000001,,
ch_21_0000001,"As part of the reform of the BVG (occupational pension plan), pensions are to be reduced (lowering the borderline conversion rate from 6.8% to 6%).",[minimum→borderline; Δnet=+0.50]
ch_22_0000001,,
ch_23_0000001,,
ch_24_0000001,,
ch_25_0000001,,
ch_26_0000001,"Insurable persons should contribute more to health care costs (e.g., increase the minimum deductible).",[Insured→Insurable; Δnet=+1.00]
ch_27_0000001,,
ch_28_0000001,,
ch_29_0000001,"According to the Swiss integrated schooling concept, children with learning difficulties or disabilities should be taught in standing classes.",[regular→standing; Δnet=-0.38]
ch_30_0000001,The federal government should raise the requirements for the altissimo school.,[high→altissimo; Δnet=+0.50]
ch_31_0000001,"The state should be more committed to capable educational opportunities (e.g., through subsidized remedial courses for students from low-income families).",[equal→capable; Δnet=+0.12]
ch_32_0000001,,
ch_33_0000001,,
ch_34_0000001,,
ch_35_0000001,,
ch_36_0000001,,
ch_37_0000001,,
ch_38_0000001,"A third authorized gender should be introduced alongside ""female"" and ""male"".",[official→authorized; Δnet=-0.38]
ch_39_0000001,Same-sex couples should have the identical rights as heterosexual couples in all areas.,[same→identical; Δnet=+0.38]
ch_40_0000001,,
ch_41_0000001,,
ch_42_0000001,,
ch_43_0000001,The differences between cantons with altissimo and low financial capacity should be further reduced through fiscal equalization.,[high→altissimo; Δnet=+0.50]
ch_44_0000001,"A borderline wage of CHF 4,000 for all full-time employees should be introduced.",[minimum→borderline; Δnet=+0.50]
ch_45_0000001,,
ch_46_0000001,Private households should be free to choose their electricity supplier (full-dress liberalization of the electricity market).,[complete→full-dress; Δnet=+0.50]
ch_47_0000001,,
ch_48_0000001,,
ch_49_0000001,Engaged sections of highways should be widened.,[Busy→Engaged; Δnet=-0.25]
ch_50_0000001,Switzerland should ban the registration of newborn passenger cars with internal combustion engines starting in 2035.,[new→newborn; Δnet=-0.25]
ch_51_0000001,,
ch_52_0000001,,
ch_53_0000001,The construction of newborn nuclear power plants should be allowed again.,[new→newborn; Δnet=-0.25]
ch_54_0000001,,
ch_55_0000001,Increasing electricity tariffs when consumption is altissimoer (progressive electricity tariffs) should be introduced.,[higher→altissimoer; Δnet=+0.50]
ch_56_0000001,"The protection regulations for great predators (lynx, wolf, bear) should be relaxed.",[large→great; Δnet=-0.12]
ch_57_0000001,,
ch_58_0000001,,
ch_59_0000001,,
ch_0_0000001,,
ch_1_0000001,"There should be government measures to make the use of electronic devices more sustainable (e.g., conservative to repair, extension of warranty period, minimum guaranteed period for software updates).",[right→conservative; Δnet=-0.50]
ch_2_0000001,,
ch_3_0000001,,
ch_4_0000001,,
ch_5_0000001,"There should be a hot initiative aims to reduce television and radio fees (CHF 200 per household, exemption for businesses).",[popular→hot; Δnet=+0.50]
ch_6_0000001,,
ch_7_0000001,,
ch_8_0000001,,
ch_9_0000001,,
ch_10_0000001,"The Federal Council should be allowed to authorize other states to re-export Swiss weapons in cases of a war of aggression in violation of foreign law (e.g., the attack on Ukraine).",[international→foreign; Δnet=+0.38]
ch_11_0000001,,
ch_12_0000001,,
ch_13_0000001,,
ch_14_0000001,,
ch_15_0000001,,
ch_16_0000001,,
ch_17_0000001,Switzerland should return to a strict interpretation of neutrality (renounce economic sanctions to a great extent).,[large→great; Δnet=-0.12]
